"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ABC-BRASIL;;3;1;4;8;38792;37048;4559;1692158046.450861
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A.;13.24;30;38;3;71;2265540;2265540;;1692158046.450864
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;AGIBANK;77.63;132;223;79;434;1700228;1375944;1011273;1692158046.450867
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;1;2;2;5;497481;132;497349;1692158046.45087
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;0;2;3;5;27283;15337;16622;1692158046.450873
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ALFA;;12;35;10;57;418830;267342;152627;1692158046.450876
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ANDBANK;;0;0;1;1;4374;4374;33;1692158046.450879
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;19540550;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;;3;11;2;16;296526;296526;;1692158046.450883
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.;;7;13;0;20;48842;40411;9387;1692158046.450886
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;997185;BANCO B3 S.A.;;1;0;3;4;874;874;;1692158046.450889
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33132044;BANCO CEDULA S.A.;;0;2;0;2;18016;2809;15430;1692158046.450892
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;;2;0;0;2;29075;1232;27996;1692158046.450895
2022;1;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;8357240;BANCO CSF S.A.;12.63;94;86;26;206;7437471;;7437471;1692158046.450898
