"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2021;2;Demais bancos e financeiras;Conglomerado;;ABC-BRASIL;;0;2;0;2;28022;26485;3921;1692158046.452092
2021;2;Demais bancos e financeiras;Conglomerado;;AGIBANK;59.49;68;205;84;357;1142941;868256;756080;1692158046.452096
2021;2;Demais bancos e financeiras;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;2;4;1;7;433738;130;433608;1692158046.452099
2021;2;Demais bancos e financeiras;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;1;1;1;3;15074;6675;11288;1692158046.452102
2021;2;Demais bancos e financeiras;Conglomerado;;ALFA;;19;32;16;67;416540;268174;149521;1692158046.452105
2021;2;Demais bancos e financeiras;Conglomerado;;ANDBANK;;0;2;3;5;4320;4320;44;1692158046.452107
2021;2;Demais bancos e financeiras;Banco/financeira;3532415;BANCO ABN AMRO S.A.;;0;0;1;1;76;54;23;1692158046.45211
2021;2;Demais bancos e financeiras;Banco/financeira;54403563;BANCO ARBI S.A.;;6;3;2;11;19525;11177;8411;1692158046.452113
2021;2;Demais bancos e financeiras;Banco/financeira;15173776;BANCO CAPITAL S.A.;;0;1;0;1;1354;1312;124;1692158046.452116
2021;2;Demais bancos e financeiras;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;;0;0;1;1;27828;1237;26867;1692158046.452119
2021;2;Demais bancos e financeiras;Banco/financeira;8357240;BANCO CSF S.A.;26.3;192;93;73;358;7297674;;7297674;1692158046.452122
2021;2;Demais bancos e financeiras;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.;;2;6;12;20;548402;468836;194802;1692158046.452124
2021;2;Demais bancos e financeiras;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.;;0;0;1;1;36294;3;36292;1692158046.452127
2021;2;Demais bancos e financeiras;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;212.14;79;23;26;128;372393;238155;195709;1692158046.45213
2021;2;Demais bancos e financeiras;Banco/financeira;27098060;BANCO DIGIO S.A.;18.73;30;64;41;135;1601177;827359;1355127;1692158046.452133
2021;2;Demais bancos e financeiras;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;;18;20;14;52;1074923;837994;605860;1692158046.452135
2021;2;Demais bancos e financeiras;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;33.77;30;23;15;68;888326;764874;396722;1692158046.452138
2021;2;Demais bancos e financeiras;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;;27;23;30;80;8679633;8095479;3223472;1692158046.452141
2021;2;Demais bancos e financeiras;Banco/financeira;58616418;BANCO FIBRA S.A.;;0;2;3;5;163669;4032;160187;1692158046.452144
2021;2;Demais bancos e financeiras;Banco/financeira;62237425;BANCO FIDIS S/A;;0;2;0;2;5972;183;5807;1692158046.452147
2021;2;Demais bancos e financeiras;Banco/financeira;90731688;BANCO FORD S.A.;;0;1;1;2;341;147;205;1692158046.45215
2021;2;Demais bancos e financeiras;Banco/financeira;4866275;BANCO INBURSA S.A.;;3;1;3;7;12478;11;12467;1692158046.452153
2021;2;Demais bancos e financeiras;Banco/financeira;91884981;BANCO JOHN DEERE S.A.;;1;1;0;2;14199;254;14008;1692158046.452155
2021;2;Demais bancos e financeiras;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.;;1;0;0;1;9668;4682;5351;1692158046.452158
2021;2;Demais bancos e financeiras;Banco/financeira;78632767;BANCO OURINVEST S.A.;;0;2;0;2;44303;41822;2504;1692158046.452161
2021;2;Demais bancos e financeiras;Banco/financeira;61820817;BANCO PAULISTA S.A.;;0;0;2;2;27172;7769;19666;1692158046.452165
2021;2;Demais bancos e financeiras;Banco/financeira;795423;BANCO SEMEAR S.A.;;3;4;2;9;282882;3185;279988;1692158046.452168
2021;2;Demais bancos e financeiras;Banco/financeira;11970623;BANCO SENFF S.A.;;4;12;4;20;89047;15993;73551;1692158046.452171
2021;2;Demais bancos e financeiras;Conglomerado;;BANCO SICOOB;;8;11;11;30;4794630;2308218;3042206;1692158046.452174
2021;2;Demais bancos e financeiras;Banco/financeira;60518222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;;0;0;1;1;1063;1023;126;1692158046.452177
2021;2;Demais bancos e financeiras;Banco/financeira;7679404;BANCO TOPÁZIO S.A.;;6;3;1;10;36623;15733;22906;1692158046.452181
2021;2;Demais bancos e financeiras;Banco/financeira;3215790;BANCO TOYOTA DO BRASIL S.A.;;4;1;8;13;159896;15262;145562;1692158046.452184
2021;2;Demais bancos e financeiras;Banco/financeira;17351180;BANCO TRIANGULO S.A.;;15;3;10;28;1995911;293864;1829315;1692158046.452187
2021;2;Demais bancos e financeiras;Conglomerado;;BANESTES;;27;18;21;66;1333666;1283821;475598;1692158046.45219
2021;2;Demais bancos e financeiras;Conglomerado;;BANRISUL;37.2;188;365;107;660;5052830;3715613;3951732;1692158046.452193
2021;2;Demais bancos e financeiras;Conglomerado;;BARIGUI;;16;14;12;42;99110;71651;34901;1692158046.452196
2021;2;Top 10 - Bancos e Financeiras;Conglomerado;;BB;21.09;1456;1880;1846;5182;69010996;64888224;30699885;1692158046.452199
2021;2;Demais bancos e financeiras;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;0;0;1;1;119246;8;119241;1692158046.452202
2021;2;Demais bancos e financeiras;Conglomerado;;BMG;101.86;795;669;264;1728;7804650;4171643;5102142;1692158046.452212
2021;2;Demais bancos e financeiras;Conglomerado;;BMW;;0;0;2;2;27683;25442;21342;1692158046.452215
2021;2;Demais bancos e financeiras;Conglomerado;;BNP PARIBAS;192.1;456;268;94;818;2373655;11796;2362365;1692158046.452218
2021;2;Demais bancos e financeiras;Conglomerado;;BOFA MERRILL LYNCH;;0;1;0;1;4484;4477;103;1692158046.452221
2021;2;Top 10 - Bancos e Financeiras;Conglomerado;;BRADESCO;25.33;2515;4076;3048;9639;99260817;90494990;43726399;1692158046.452224
