"nom_segto_instituicao";"num_cnpj_instituicao";"nom_instituicao";"dat_hor_psst"
S4;2658435;BANCO CATERPILLAR S.A.;1692154721.568243
S4;33132044;BANCO CEDULA S.A.;1692154721.568246
S4;10690848;BANCO DA CHINA BRASIL S.A.;1692154721.568249
S4;5040481;BANCO DE LAGE LANDEN BRASIL S.A.;1692154721.568253
S4;28145829;BANCO DES. DO ES S.A.;1692154721.568259
S4;13009717;BANCO DO EST. DE SE S.A.;1692154721.568265
S4;4913711;BANCO DO EST. DO PA S.A.;1692154721.568271
S4;61348538;BANCO FICSA S.A.;1692154721.568276
S4;90731688;BANCO FORD S.A.;1692154721.568282
S4;31880826;BANCO GUANABARA S.A.;1692154721.568288
S4;33588252;BANCO INDUSCRED DE INVESTIM. S/A;1692154721.568294
S4;7656500;BANCO KDB BRASIL S.A.;1692154721.5683
S4;2318507;BANCO KEB DO BRASIL SA;1692154721.568305
S4;33042151;BANCO LA NACION ARGENTINA;1692154721.56831
S4;44189447;BANCO LA PROVINCIA B AIRES BCE;1692154721.568316
S4;59118133;BANCO LUSO BRASILEIRO S.A.;1692154721.568322
S4;80271455;BANCO MAXINVEST S.A.;1692154721.568327
S4;30723886;BANCO MODAL S.A.;1692154721.568333
S4;253448;BANCO POTTENCIAL S.A.;1692154721.568338
S4;51938876;BANCO REP ORIENTAL URUGUAY BCE;1692154721.568344
S4;4866275;BANCO STANDARD INV S.A.;1692154721.568349
S4;3215790;BANCO TOYOTA DO BRASIL S.A.;1692154721.568354
S4;17351180;BANCO TRIANGULO S.A.;1692154721.56836
S4;57839805;BANCO TRICURY S.A.;1692154721.568365
S4;15357060;BANCO WOORI BANK DO BRASIL S.A.;1692154721.568371
S4;20443996;BECKER FINANCEIRA SA - CFI;1692154721.568376
S4;13059145;BEXS;1692154721.568383
S4;33862244;BGC LIQUIDEZ DTVM LTDA;1692154721.568389
S4;11285104;BIORC FINANCEIRA - CFI S.A.;1692154721.568394
S4;4452473;BMW;1692154721.5684
S4;42272526;BNY MELLON;1692154721.568405
S4;6373777;BOA VIAGEM SCC LTDA.;1692154721.568412
S4;71027866;BONSUCESSO;1692154721.568418
S4;61033106;BPN BRASIL BM S.A.;1692154721.568424
S4;13220493;BR PARTNERS;1692154721.56843
