"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;;18;67;43;128;5730050;14322;5729574;1692158046.450741
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;RECARGAPAY;7.64;59;66;15;140;7714549;7712803;24547;1692158046.450744
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;RENDIMENTO;;13;19;2;34;242571;238738;6785;1692158046.450747
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;65697260;REPOM S.A.;;9;3;0;12;269770;269768;4;1692158046.45075
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;RODOBENS;;2;9;4;15;21663;1553;20485;1692158046.450752
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;6249129;RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;0;1;0;1;14817;3;14814;1692158046.450756
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SAFRA;59.27;332;532;223;1087;5601301;2066353;3913535;1692158046.450758
2022;3;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SANTANDER;28.54;1740;3409;1463;6612;60961566;54709213;25435633;1692158046.450762
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;;1;4;0;5;11605;465;11140;1692158046.450765
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SCANIA;;1;0;0;1;5399;4433;5354;1692158046.450767
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SENFF;;8;10;8;26;263286;159789;108625;1692158046.450771
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;5503849;SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;;1;2;1;4;31739;1296;30445;1692158046.450774
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;38372267;SHPP BRASIL INSTITUIÇÃO DE PAGAMENTO E SERVIÇOS DE PAGAMENTOS LTDA.;;5;2;7;14;0;0;0;1692158046.450778
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SICREDI;;0;4;5;9;7148115;7126236;210908;1692158046.45078
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SIMPALA;;1;0;0;1;4670;27;4644;1692158046.450783
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;15173776;SOCIAL BANK BANCO MÚLTIPLO S/A;;17;1;1;19;1321;1311;17;1692158046.450786
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23757411;SOCIAL BANK INSTITUIÇÃO DE PAGAMENTO S.A;;2;0;0;2;283011;283011;;1692158046.450789
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SOCIETE GENERALE;;0;1;0;1;428;341;137;1692158046.450792
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;3881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;3;4;16;23;2234;448;1786;1692158046.450795
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SOFISA;68.21;40;29;27;96;586409;577267;54379;1692158046.450798
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SOROCRED;;16;43;29;88;635124;1061;634109;1692158046.450801
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;9274232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;0;1;0;1;1;1;;1692158046.450804
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;STONE;55.91;145;533;18;696;2593141;2593044;99;1692158046.450807
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;SUMUP;;0;2;0;2;;;;1692158046.45081
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;30980539;U4CRYPTO INSTITUIÇÃO DE PAGAMENTO SA;;11;7;2;20;0;0;0;1692158046.450813
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;UBS;;0;1;0;1;0;0;;1692158046.450816
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;5192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;;2;5;2;9;459801;13555;450697;1692158046.450819
