"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2021;3;Demais bancos e financeiras;Conglomerado;;ABC-BRASIL;;1;2;1;4;29707;28217;4009;1692158046.451752
2021;3;Demais bancos e financeiras;Conglomerado;;AGIBANK;82.54;109;296;107;512;1320447;999951;873341;1692158046.451756
2021;3;Demais bancos e financeiras;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;3;1;2;6;453405;130;453275;1692158046.451759
2021;3;Demais bancos e financeiras;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;4;0;6;10;18217;9981;11683;1692158046.451763
2021;3;Demais bancos e financeiras;Conglomerado;;ALFA;;13;61;11;85;420486;268221;153423;1692158046.451766
2021;3;Demais bancos e financeiras;Conglomerado;;ANDBANK;;0;3;3;6;4369;4369;48;1692158046.45177
2021;3;Demais bancos e financeiras;Banco/financeira;3532415;BANCO ABN AMRO S.A.;;0;0;1;1;41;41;1;1692158046.451773
2021;3;Demais bancos e financeiras;Banco/financeira;54403563;BANCO ARBI S.A.;;1;9;1;11;28673;20319;8520;1692158046.451776
2021;3;Demais bancos e financeiras;Banco/financeira;33132044;BANCO CEDULA S.A.;;0;1;0;1;18022;2815;15434;1692158046.45178
2021;3;Demais bancos e financeiras;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;;0;0;1;1;28309;1234;27347;1692158046.451783
2021;3;Demais bancos e financeiras;Banco/financeira;8357240;BANCO CSF S.A.;14.94;111;89;59;259;7425297;;7425297;1692158046.451787
2021;3;Demais bancos e financeiras;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.;;2;4;8;14;551874;473802;194373;1692158046.45179
2021;3;Demais bancos e financeiras;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.;;1;0;0;1;481;457;39;1692158046.451795
2021;3;Demais bancos e financeiras;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA;;0;1;0;1;256;244;21;1692158046.451798
2021;3;Demais bancos e financeiras;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;258.94;102;28;34;164;393906;266246;192853;1692158046.451803
2021;3;Demais bancos e financeiras;Banco/financeira;27098060;BANCO DIGIO S.A.;31.05;58;108;71;237;1867547;1096662;1553737;1692158046.451807
2021;3;Demais bancos e financeiras;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;;10;23;17;50;1082245;831407;621508;1692158046.451812
2021;3;Demais bancos e financeiras;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;42.87;39;23;23;85;909670;786497;405982;1692158046.451817
2021;3;Demais bancos e financeiras;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;;13;23;37;73;8844660;8261233;3268835;1692158046.451822
2021;3;Demais bancos e financeiras;Banco/financeira;58616418;BANCO FIBRA S.A.;;0;0;1;1;163670;4092;160152;1692158046.451825
2021;3;Demais bancos e financeiras;Banco/financeira;62237425;BANCO FIDIS S/A;;0;7;4;11;4661;147;4533;1692158046.451828
2021;3;Demais bancos e financeiras;Banco/financeira;53518684;BANCO HSBC S.A.;;0;0;2;2;3087;3074;58;1692158046.451832
2021;3;Demais bancos e financeiras;Banco/financeira;4866275;BANCO INBURSA S.A.;;5;5;5;15;14726;9;14717;1692158046.451834
2021;3;Demais bancos e financeiras;Banco/financeira;78632767;BANCO OURINVEST S.A.;;5;2;0;7;50060;47319;2771;1692158046.451837
2021;3;Demais bancos e financeiras;Banco/financeira;61820817;BANCO PAULISTA S.A.;;1;0;2;3;28238;7793;20692;1692158046.45184
2021;3;Demais bancos e financeiras;Banco/financeira;795423;BANCO SEMEAR S.A.;;2;2;0;4;270979;3638;267795;1692158046.451844
2021;3;Demais bancos e financeiras;Banco/financeira;11970623;BANCO SENFF S.A.;;1;4;1;6;109166;40042;70102;1692158046.451847
2021;3;Demais bancos e financeiras;Conglomerado;;BANCO SICOOB;;21;26;6;53;5047970;2390217;3240987;1692158046.451851
2021;3;Demais bancos e financeiras;Banco/financeira;7679404;BANCO TOPÁZIO S.A.;;4;5;2;11;43686;15291;30304;1692158046.451854
