"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ABC-BRASIL;;2;0;3;5;33095;31565;4248;1692154721.718107
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A.;20.87;42;28;5;75;2011869;2011869;;1692154721.71811
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;AGIBANK;195.92;309;334;76;719;1577152;1224075;996638;1692154721.718112
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;2;2;1;5;473823;130;473693;1692154721.718114
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;2;5;5;12;23421;13123;14355;1692154721.718117
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ALFA;;16;54;12;82;422572;268328;155393;1692154721.718119
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ANDBANK;;0;2;2;4;4376;4376;37;1692154721.718121
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;19540550;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;;0;3;1;4;249654;249654;;1692154721.718124
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;3532415;BANCO ABN AMRO S.A.;;0;0;2;2;26;26;1;1692154721.718126
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.;;8;14;2;24;38372;30210;8698;1692154721.718129
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33132044;BANCO CEDULA S.A.;;2;0;0;2;18016;2809;15432;1692154721.718131
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;;0;1;0;1;28397;1230;27318;1692154721.718134
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;8357240;BANCO CSF S.A.;13.88;102;99;60;261;7348002;;7348002;1692154721.718137
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.;;1;3;4;8;556710;480440;194083;1692154721.71814
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.;;0;1;0;1;528;503;41;1692154721.718143
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.;;0;1;0;1;34810;3;34808;1692154721.718145
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;444.9;202;29;55;286;454034;302771;209881;1692154721.718148
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27098060;BANCO DIGIO S.A.;67.4;133;97;44;274;1973142;1349497;1500737;1692154721.71815
2021;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;;29;30;19;78;1094338;827042;642079;1692154721.718153
