"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ABC-BRASIL;;11;2;4;17;55693;51667;7966;1692158046.449693
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;15.52;86;81;12;179;5538591;5538546;41852;1692158046.449723
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.;;1;1;0;2;51711;51711;;1692158046.449728
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;AFINZ;;17;32;13;62;483968;1078;482931;1692158046.449732
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;AGIBANK;112.41;224;261;60;545;1992640;1610132;1269980;1692158046.449735
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;2;6;0;8;549291;127;549164;1692158046.449738
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;5;0;0;5;31644;20829;16684;1692158046.449741
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ALFA;;7;25;4;36;439630;267442;173252;1692158046.449744
2022;4;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32778350;AME DIGITAL BRASIL INSTITUICAO DE PAGAMENTO LTDA;1.28;40;38;14;92;31101626;31101415;1434;1692158046.449747
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ANDBANK;;0;1;4;5;31197;4324;26901;1692158046.44975
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ASAAS;;15;42;5;62;0;0;0;1692158046.449754
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.;;6;7;2;15;89501;89501;;1692158046.449758
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;997185;BANCO B3 S.A.;;1;0;3;4;1160;1160;;1692158046.449762
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;;0;3;4;7;29965;1306;28842;1692158046.449765
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;8357240;BANCO CSF S.A.;6.31;51;75;39;165;8070375;;8070375;1692158046.449768
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.;;2;1;6;9;587752;516123;203435;1692158046.449772
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;170.35;56;35;50;141;328722;157369;208295;1692158046.449776
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;;29;30;15;74;1128708;851059;656226;1692158046.449779
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;33.68;34;21;10;65;1009445;886254;435161;1692158046.449782
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;;7;27;27;61;9384798;8816792;3284218;1692158046.449785
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.;;0;4;3;7;4057;4039;89;1692158046.449788
2022;4;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4866275;BANCO INBURSA S.A.;;16;7;4;27;39104;10;39096;1692158046.449792
